id,Insult,Comment,tokens
31,0,"""in your face cano haters ""","['``', 'face', 'cano', 'haters', '``']"
32,0,"""what foul are you kidding!!!!!!!!""","['``', 'foul', 'kidding', '!', '!', '!', '!', '!', '!', '!', '!', ""''""]"
33,1,"""you would know alot about rolls, fat boy""","['``', 'would', 'know', 'alot', 'rolls', ',', 'fat', 'boy', ""''""]"
34,0,"""you look pretty damn good! ^_^""","['``', 'look', 'pretty', 'damn', 'good', '!', '^_^', ""''""]"
35,1,"""you are a moron. i am a computer guy that has my own company. my mouth will get me in trouble? i doubt it. stupid m f er.

again, what is the name of your other account? i know, you do not want say...
douche bag.""","['``', 'moron', '.', 'computer', 'guy', 'company', '.', 'mouth', 'get', 'trouble', '?', 'doubt', '.', 'stupid', 'f', 'er.\\n\\nagain', ',', 'name', 'account', '?', 'know', ',', 'want', 'say', '...', '\\ndouche', 'bag', '.', ""''""]"
36,0,"""it is the corrupt government blasting underground bunkers and tunnels in preparation for the coming nuclear/economic disaster.  they hope we will all die off so they can come out after the fallout is gone and rebuild the world as kings.  they will fail...""","['``', 'corrupt', 'government', 'blasting', 'underground', 'bunkers', 'tunnels', 'preparation', 'coming', 'nuclear/economic', 'disaster', '.', 'hope', 'die', 'come', 'fallout', 'gone', 'rebuild', 'world', 'kings', '.', 'fail', '...', ""''""]"
37,1,"""the phillies are terrible. go back to your cave""","['``', 'phillies', 'terrible', '.', 'go', 'back', 'cave', ""''""]"
38,1,"""you are so naive.....useful idiot.""","['``', 'naive', '.....', 'useful', 'idiot', '.', ""''""]"
39,0,"""are you kidding me?""","['``', 'kidding', '?', ""''""]"
40,1,"""you are an opinionated, uneducated idiot. and kingdom of heaven director's cut is a masterpiece.""","['``', 'opinionated', ',', 'uneducated', 'idiot', '.', 'kingdom', 'heaven', 'director', ""'s"", 'cut', 'masterpiece', '.', ""''""]"
41,1,"""shut up muffin you soft a** b*tch""","['``', 'shut', 'muffin', 'soft', '*', '*', 'b', '*', 'tch', ""''""]"
42,0,"""okay, i'm going to blow your fucking minds.  what if the three elderly members of the council aren't just ineffectual pushovers, but are actually being bloodbended by tarrlok to give him the majority vote on every decision?  it's a stretch, because you 'd think somebody would... notice, but they surely couldn't be that willing to turn republic city into a police state at the first sign of trouble, could they?""","['``', 'okay', ',', ""'m"", 'going', 'blow', 'fucking', 'minds', '.', '\\xa0what', 'three', 'elderly', 'members', 'council', ""n't"", 'ineffectual', 'pushovers', ',', 'actually', 'bloodbended', 'tarrlok', 'give', 'majority', 'vote', 'every', 'decision', '?', '\\xa0it', ""'s"", 'stretch', ',', ""'d"", 'think', 'somebody', 'would', '...', 'notice', ',', 'surely', 'could', ""n't"", 'willing', 'turn', 'republic', 'city', 'police', 'state', 'first', 'sign', 'trouble', ',', 'could', '?', ""''""]"
43,0,"""it's also a synonym for shit. ""","['``', ""'s"", 'also', 'synonym', 'shit.', '``']"
44,0,"""well then you're welcome to contact your own lawyer.""","['``', 'well', ""'re"", 'welcome', 'contact', 'lawyer', '.', ""''""]"
45,1,""" @presidentjlh  @jenbroflovski you can ask your mom about it""","['``', '\\xa0', '@', 'presidentjlh\\xa0\\xa0', '@', 'jenbroflovski', 'ask', 'mom', ""''""]"
46,0,"""jimmy, your pop ups and fly outs are the reason i can never be happy.""","['``', 'jimmy', ',', 'pop', 'ups', 'fly', 'outs', 'reason', 'never', 'happy', '.', ""''""]"
47,1,"""well i got on here, but i think im might just get back off. see you delusion fans later!!:)""","['``', 'well', 'got', ',', 'think', 'im', 'might', 'get', 'back', '.', 'see', 'delusion', 'fans', 'later', '!', '!', ':', ')', ""''""]"
48,0,"""you are so strong""","['``', 'strong', ""''""]"
49,0,"""coach, please stop trying to explain this away.  the more you speak/tweet the deeper your hole becomes.""","['``', 'coach', ',', 'please', 'stop', 'trying', 'explain', 'away', '.', 'speak/tweet', 'deeper', 'hole', 'becomes', '.', ""''""]"
50,1,"""learn reading comprehension. sure urlacher is above average, maybe even great, as i said he's the dick butkus of your time. in response to the ""it takes a team"" comment, i just add that it is further proof that the bears suck. as for chicago and politics, do you really need to be told about the ""chicago way""?  it influences everything, even your crappy organization called the chicago bears. ""","['``', 'learn', 'reading', 'comprehension', '.', 'sure', 'urlacher', 'average', ',', 'maybe', 'even', 'great', ',', 'said', ""'s"", 'dick', 'butkus', 'time', '.', 'response', '``', 'takes', 'team', ""''"", 'comment', ',', 'add', 'proof', 'bears', 'suck', '.', 'chicago', 'politics', ',', 'really', 'need', 'told', '``', 'chicago', 'way', ""''"", '?', 'influences', 'everything', ',', 'even', 'crappy', 'organization', 'called', 'chicago', 'bears.', '``']"
51,1,"""your mom is better.""","['``', 'mom', 'better', '.', ""''""]"
52,0,"""alyssa look...matches your wall hanging you made""","['``', 'alyssa', 'look', '...', 'matches', 'wall', 'hanging', 'made', ""''""]"
53,0,"""justice over there then............are you watching england??""","['``', 'justice', '............', 'watching', 'england', '?', '?', ""''""]"
54,0,"""you're funny.  do you do stand up?""","['``', ""'re"", 'funny', '.', 'stand', '?', ""''""]"
55,1,""" no personal abuse from me - unless you feel it applies to you and then you're very welcome. pleasingly, the text you quote supports what i said. even if it didn't, today it is thought that canut or cnut tried to command the waves. the perception is the most important not the fact. do you see?

there; you've learned not to take things in a mechanical, pedantic, literal sense. at least i hope you've learned.  

anton, a part of your straining brain has indeed 'checked out'; nobody at home. 

your username reveals something of you. 
hope this helps.""","['``', '\\xa0no', 'personal', 'abuse', '-', 'unless', 'feel', 'applies', ""'re"", 'welcome', '.', 'pleasingly', ',', 'text', 'quote', 'supports', 'said', '.', 'even', ""n't"", ',', 'today', 'thought', 'canut', 'cnut', 'tried', 'command', 'waves', '.', 'perception', 'important', 'fact', '.', 'see', '?', '\\n\\nthere', ';', ""'ve"", 'learned', 'take', 'things', 'mechanical', ',', 'pedantic', ',', 'literal', 'sense', '.', 'least', 'hope', ""'ve"", 'learned.\\xa0', '\\n\\nanton', ',', 'part', 'straining', 'brain', 'indeed', ""'checked"", ""'"", ';', 'nobody', 'home', '.', '\\n\\nyour', 'username', 'reveals', 'something', '.', '\\nhope', 'helps', '.', ""''""]"
56,1,"""man i 100% agree with you shaunie fake ass with them even fake ass tear can cry me a river the bitch just like them to other rats are trying to save face ""","['``', 'man', '100', '%', 'agree', 'shaunie', 'fake', 'ass', 'even', 'fake', 'ass', 'tear', 'cry', 'river', 'bitch', 'like', 'rats', 'trying', 'save', 'face', '``']"
57,1,"""well guess what..... i don't give a fuck lol 
is mom though get your english right nigga!!""","['``', 'well', 'guess', '.....', ""n't"", 'give', 'fuck', 'lol\\xa0\\nis', 'mom', 'though', 'get', 'english', 'right', 'nigga', '!', '!', ""''""]"
58,0,"""i finally figured out what that white shit is lmao. dude bust a nut in her ass and she spit it out in the pool. gross ass females. ""","['``', 'finally', 'figured', 'white', 'shit', 'lmao', '.', 'dude', 'bust', 'nut', 'ass', 'spit', 'pool', '.', 'gross', 'ass', 'females.\\xa0', ""''""]"
59,0,"""*desecrate


are you happy now?""","['``', '*', 'desecrate\\n\\n\\nare', 'happy', '?', ""''""]"
60,0,"""yes, you probably are.""","['``', 'yes', ',', 'probably', '.', ""''""]"
61,0,"""you are certainly entitle to your opinion ""","['``', 'certainly', 'entitle', 'opinion', '``']"
62,0,"""what kind of porn do you watch?  this isn't porn.  ""","['``', 'kind', 'porn', 'watch', '?', '\\xa0this', ""n't"", 'porn', '.', '\\xa0', ""''""]"
63,0,"""you must have great abs by now.""","['``', 'must', 'great', 'abs', '.', ""''""]"
64,1,"""shouldn't you be at your ballet lesson little girl? ""","['``', ""n't"", 'ballet', 'lesson', 'little', 'girl', '?', '``']"
65,0,"""fucking red neck bitch!!""","['``', 'fucking', 'red', 'neck', 'bitch', '!', '!', ""''""]"
66,1,"""keep whining like a little pu ssy mack. you are making my day.""","['``', 'keep', 'whining', 'like', 'little', 'pu', 'ssy', 'mack', '.', 'making', 'day', '.', ""''""]"
67,0,"""you been goofin' w/ the bees?""","['``', 'goofin', ""'"", 'w/', 'bees', '?', ""''""]"
68,0,"""um are you planning on getting married again?""","['``', 'um', 'planning', 'getting', 'married', '?', ""''""]"
69,0,"""you are living proof that bath salts effect thinking.""","['``', 'living', 'proof', 'bath', 'salts', 'effect', 'thinking', '.', ""''""]"
70,0,"""boy shut up im black i said biscuit cause i didn't want to say bitch so shut ur dumb ass up really bro get a life and get off my cat""","['``', 'boy', 'shut', 'im', 'black', 'said', 'biscuit', 'cause', ""n't"", 'want', 'say', 'bitch', 'shut', 'ur', 'dumb', 'ass', 'really', 'bro', 'get', 'life', 'get', 'cat', ""''""]"
71,1,"""you must be pretty short bus window lickin special if you aint caught on buy now that  iv been makein all the typos in these comments for shitz and giggles ..if not .your as stupid as you think i am  sure i made a mistake on the ecard but with bigger issues in the world like murder and abused kids i didnt think it was that bigga rats ass to freak out about, hell im glad i made the mistake laughin at yall pinched ass bitches has been really cheap or is that cheep...oh well entertainment is entertainment.""","['``', 'must', 'pretty', 'short', 'bus', 'window', 'lickin', 'special', 'aint', 'caught', 'buy', 'iv', 'makein', 'typos', 'comments', 'shitz', 'giggles', '..', '.your', 'stupid', 'think', 'sure', 'made', 'mistake', 'ecard', 'bigger', 'issues', 'world', 'like', 'murder', 'abused', 'kids', 'didnt', 'think', 'bigga', 'rats', 'ass', 'freak', ',', 'hell', 'im', 'glad', 'made', 'mistake', 'laughin', 'yall', 'pinched', 'ass', 'bitches', 'really', 'cheap', 'cheep', '...', 'oh', 'well', 'entertainment', 'entertainment', '.', ""''""]"
72,0,"""seems like you had a lot of fun ! :) ""","['``', 'seems', 'like', 'lot', 'fun', '!', ':', ')', '``']"
73,0,"""nice supercam but plz release a device wid exynos 5 chip... lg is already on a line wid s4 quad krait... stop using exynos 4 nw n also upgrade ur mali gpu to 600... it will be a slap on qualcomm's face...""","['``', 'nice', 'supercam', 'plz', 'release', 'device', 'wid', 'exynos', '5', 'chip', '...', 'lg', 'already', 'line', 'wid', 's4', 'quad', 'krait', '...', 'stop', 'using', 'exynos', '4', 'nw', 'n', 'also', 'upgrade', 'ur', 'mali', 'gpu', '600', '...', 'slap', 'qualcomm', ""'s"", 'face', '...', ""''""]"
74,1,"""when you were potty training how did your mama convince you that you weren't melting?  ""","['``', 'potty', 'training', 'mama', 'convince', ""n't"", 'melting', '?', '``']"
75,1,"""i bet you cant dance better you dum bitch stfu ... you proably mad a jamaican fucked you and left you , you dum smut ""","['``', 'bet', 'cant', 'dance', 'better', 'dum', 'bitch', 'stfu', '...', 'proably', 'mad', 'jamaican', 'fucked', 'left', ',', 'dum', 'smut', '``']"
76,1,"""you are clearly stupid, that is what he meant you thumb.""","['``', 'clearly', 'stupid', ',', 'meant', 'thumb', '.', ""''""]"
77,0,"""nrg you are wasting your time""","['``', 'nrg', 'wasting', 'time', ""''""]"
78,1,"""sounds like your mother.""","['``', 'sounds', 'like', 'mother', '.', ""''""]"
79,1,"""fuck off indian makes u proud""","['``', 'fuck', 'indian', 'makes', 'u', 'proud', ""''""]"
80,1,"""okay, you made your point. hanging around longer means you are flirting with the gay people here.""","['``', 'okay', ',', 'made', 'point', '.', 'hanging', 'around', 'longer', 'means', 'flirting', 'gay', 'people', '.', ""''""]"
81,1,"""fuck you asshole! do you like that?""","['``', 'fuck', 'asshole', '!', 'like', '?', ""''""]"
82,1,"""""<span> i don't care much for the lying degenerate bastards.""</span>
then how do you live w/yourself?""","['``', '``', '<', 'span', '>', ""n't"", 'care', 'much', 'lying', 'degenerate', 'bastards', '.', '``', '<', '/span', '>', '\\r\\nthen', 'live', 'w/yourself', '?', ""''""]"
83,0,"""well said. we need more men like you. thank you. ""","['``', 'well', 'said', '.', 'need', 'men', 'like', '.', 'thank', 'you.\\xa0', ""''""]"
84,0,"""you would be gorg!""","['``', 'would', 'gorg', '!', ""''""]"
85,0,"""how do you feel about free elections?""","['``', 'feel', 'free', 'elections', '?', ""''""]"
86,1,"""expat, you gotta be smoking some of barry's maui woowie...""","['``', 'expat', ',', 'got', 'ta', 'smoking', 'barry', ""'s"", 'maui', 'woowie', '...', ""''""]"
87,1,"""this is america doom, i have been waiting for you fat pepsi drinking clown-burger eating losers to get destroyed by a superior power. death to america!""","['``', 'america', 'doom', ',', 'waiting', 'fat', 'pepsi', 'drinking\\xa0clown-burger\\xa0eating', 'losers', 'get', 'destroyed', 'superior', 'power', '.', 'death', 'america', '!', ""''""]"
88,0,"""oooh, you're giving me a good laugh. :)""","['``', 'oooh', ',', ""'re"", 'giving', 'good', 'laugh', '.', ':', ')', ""''""]"
89,0,"""wait it says you are in""","['``', 'wait', 'says', ""''""]"
90,0,"""are you talking about her underwear?""","['``', 'talking', 'underwear', '?', ""''""]"
91,0,"""that must be a compliment from someone like you lol ""","['``', 'must', 'compliment', 'someone', 'like', 'lol', '``']"
92,0,""" no. you didn't talk about your iq!""","['``', '.', ""n't"", 'talk', 'iq', '!', ""''""]"
93,0,"""rofl, you are showing signs of desperation.""","['``', 'rofl', ',', 'showing', 'signs', 'desperation', '.', ""''""]"
94,1,"""your statements are idiotic and juvenile.""","['``', 'statements', 'idiotic', 'juvenile', '.', ""''""]"
95,1,"""sounds like your wife has a pen1s...with you that's understandable. ""","['``', 'sounds', 'like', 'wife', 'pen1s', '...', ""'s"", 'understandable.', '``']"
96,0,"""there's a difference between ""nigga"" and ""nigger"" nigger is a racist term and everyone runs around saying saying ""nigga"" even in music now a days and if it was so bad you guys wouldn't be running around calling each other it. that's like girls running around getting offended when you call them bitches yet they run around calling themselves ""bad bitches"" ""","['``', ""'s"", 'difference', '``', 'nigga', ""''"", '``', 'nigger', ""''"", 'nigger', 'racist', 'term', 'everyone', 'runs', 'around', 'saying', 'saying', '``', 'nigga', ""''"", 'even', 'music', 'days', 'bad', 'guys', 'would', ""n't"", 'running', 'around', 'calling', '.', ""'s"", 'like', 'girls', 'running', 'around', 'getting', 'offended', 'call', 'bitches', 'yet', 'run', 'around', 'calling', '``', 'bad', 'bitches', ""''"", '``']"
97,1,"""and you r sucking my dope dyck to hard. take your fake ass chief keef face up the block.""","['``', 'r', 'sucking', 'dope', 'dyck', 'hard', '.', 'take', 'fake', 'ass', 'chief', 'keef', 'face', 'block', '.', ""''""]"
98,0,"""you're not really going to watch, are you?""","['``', ""'re"", 'really', 'going', 'watch', ',', '?', ""''""]"
99,0,"""it's kinda embarrassing when you diss a nigga this long, and he just responding. don't like him keep it moving and make hits, we all know wayne fake anyway ""","['``', ""'s"", 'kinda\\xa0embarrassing\\xa0when', 'diss', 'nigga', 'long', ',', 'responding', '.', ""n't"", 'like', 'keep', 'moving', 'make', 'hits', ',', 'know', 'wayne', 'fake', 'anyway\\xa0', ""''""]"
100,0,"""looks like you kath!""","['``', 'looks', 'like', 'kath', '!', ""''""]"
101,0,"""notice they were listed as good manners...

..for children.

which leaves me way in the fucking clear. fuck erasmus, anyway.  preachy old fuck. ""","['``', 'notice', 'listed', 'good', 'manners', '...', '\\n\\n', '..', 'children.\\n\\nwhich', 'leaves', 'way', 'fucking', 'clear', '.', 'fuck', 'erasmus', ',', 'anyway.\\xa0', 'preachy', 'old', 'fuck.', '``']"
102,1,"""aaronchi...you are too stupid to know sarcasm when it is in your face...consider yourself castigated, and get lost...""","['``', 'aaronchi', '...', 'stupid', 'know', 'sarcasm', 'face', '...', 'consider', 'castigated', ',', 'get', 'lost', '...', ""''""]"
103,0,"""he does have that 'would you fuck me? ...i'd fuck me' look in his eyes. 

jesus h. fucking christ what is going on this week?""","['``', ""'would"", 'fuck', '?', '...', ""'d"", 'fuck', ""'"", 'look', 'eyes.\\xa0\\n\\njesus', 'h.', 'fucking', 'christ', 'going', 'week', '?', ""''""]"
104,1,"""typical republican...accept no blame for your repeated clusterfucks and blame anyone other than yourselves.

grow up.""","['``', 'typical', 'republican', '...', 'accept', 'blame', 'repeated', 'clusterfucks', 'blame', 'anyone', 'yourselves.\\n\\ngrow', '.', ""''""]"
105,1,"""bettynm it's too bad your not one of the idiots who can read as he's said it's hidden and not buried. as as outsider to your area, i think it's a shame that your so greedy that you don't want to share the beautiful of this land with others too. you sound like a bitter sad person. i'd take bad karma over that, any day. ""","['``', 'bettynm\\xa0it', ""'s"", 'bad', 'one', 'idiots', 'read', ""'s"", 'said', ""'s"", 'hidden', 'buried', '.', 'outsider', 'area', ',', 'think', ""'s"", 'shame', 'greedy', ""n't"", 'want', 'share', 'beautiful', 'land', 'others', '.', 'sound', 'like', 'bitter', 'sad', 'person', '.', ""'d"", 'take', 'bad', 'karma', ',', 'day.\\xa0', ""''""]"
106,1,"""oh like your not stupid you .......""","['``', 'oh', 'like', 'stupid', '.......', ""''""]"
107,0,"""i'm sure your mom is proud of you.""","['``', ""'m"", 'sure', 'mom', 'proud', '.', ""''""]"
108,1,"""rookie...run on home...your momma's calling""","['``', 'rookie', '...', 'run', 'home', '...', 'momma', ""'s"", 'calling', ""''""]"
109,1,"""your a f ucking idiot.  enjoy your dream world""","['``', 'f', 'ucking', 'idiot', '.', 'enjoy', 'dream', 'world', ""''""]"
110,1,""" you're another fucking idiot who knows nothing about drugs.

wikipedia has the molecular fucking structure of a great many different illegal drugs, fucko.""","['``', '\\xa0you', ""'re"", 'another', 'fucking', 'idiot', 'knows', 'nothing', 'drugs.\\n\\nwikipedia', 'molecular', 'fucking', 'structure', 'great', 'many', 'different', 'illegal', 'drugs', ',', 'fucko', '.', ""''""]"
111,0,"""you can show me your trophy any time.""","['``', 'show', 'trophy', 'time', '.', ""''""]"
112,0,""" you spelled dickhead wrong""","['``', '\\xa0you', 'spelled', 'dickhead', 'wrong', ""''""]"
113,1,"""u look like a damn fool""","['``', 'u', 'look', 'like', 'damn', 'fool', ""''""]"
114,1,"""leyland is a total idiot. is he referring to the fact he is incapable of making a decision
""","['``', 'leyland', 'total', 'idiot', '.', 'referring', 'fact', 'incapable', 'making', 'decision\\n', ""''""]"
115,0,"""you must be very proud of yourself""","['``', 'must', 'proud', ""''""]"
116,1,"""wow...bendtner ?.....are you on drugs?....you really fuckedup my day mentioning the name of such a crappy ass player  with the gum in his mouth and playin like a lil bitch""","['``', 'wow', '...', 'bendtner', '?', '.....', 'drugs', '?', '....', 'really', 'fuckedup', 'day', 'mentioning', 'name', 'crappy', 'ass', 'player', 'gum', 'mouth', 'playin', 'like', 'lil', 'bitch', ""''""]"
117,0,"""what is your problem 1492?   why can't you just have normal and civil conversations.  come on - please grow up so others can enjoy commenting.""","['``', 'problem', '1492', '?', 'ca', ""n't"", 'normal', 'civil', 'conversations', '.', 'come', '-', 'please', 'grow', 'others', 'enjoy', 'commenting', '.', ""''""]"
118,0,"""where are you, machynlleth or dundee?""","['``', ',', 'machynlleth', 'dundee', '?', ""''""]"
119,1,"""just face it; you're an idiot !!!""","['``', 'face', ';', ""'re"", 'idiot', '!', '!', '!', ""''""]"
120,1,"""whatever soggybutt. i'll say it again. you and your bunch of crackalaks, derelects,river rats, and new south jackwagons need to learn some manners. completely disrespectful and utterly classless. ""","['``', 'whatever', 'soggybutt', '.', ""'ll"", 'say', '.', 'bunch', 'crackalaks', ',', 'derelects', ',', 'river', 'rats', ',', 'new', 'south', 'jackwagons', 'need', 'learn', 'manners', '.', 'completely', 'disrespectful', 'utterly\\xa0classless.', '``']"
121,1,"""obozonomore—gee, your comments are sure enlightening!""","['``', 'obozonomore\\u2014gee', ',', 'comments', 'sure', 'enlightening', '!', ""''""]"
122,1,"""while you lame asses watch e3 on your computer... i'll go to e3 in los angeles because i have my e3 badge and i didn't pay for shit :d trolololololol....i tell you guys how the game is while im playing it and you will be watching :d""","['``', 'lame', 'asses', 'watch', 'e3', 'computer', '...', ""'ll"", 'go', 'e3', 'los', 'angeles', 'e3', 'badge', ""n't"", 'pay', 'shit', ':', 'trolololololol', '....', 'tell', 'guys', 'game', 'im', 'playing', 'watching', ':', ""''""]"
123,0,"""gotta keep up your strength to play and sing like you do. ""","['``', 'got', 'ta', 'keep', 'strength', 'play', 'sing', 'like', 'do.', '``']"
124,1,""" over 68,000 views fuck boy....swallow that""","['``', '\\xa0over', '68,000', 'views', 'fuck', 'boy', '....', 'swallow', ""''""]"
125,0,"""de trute are you south american?""","['``', 'de', 'trute', 'south', 'american', '?', ""''""]"
126,1,"""you and the coon can drop trow""","['``', 'coon', 'drop', 'trow', ""''""]"
127,1,"""you are the biggest idiot on these boards.  typical""","['``', 'biggest', 'idiot', 'boards', '.', 'typical', ""''""]"
128,1,"""what are you smoking?""","['``', 'smoking', '?', ""''""]"
129,1,"""how old are you 10?....""","['``', 'old', '10', '?', '....', ""''""]"
130,0,"""fyi ... who gives a shit. it's just a fricken typo ...you'll live.""","['``', 'fyi', '...', 'gives', 'shit', '.', ""'s"", 'fricken', 'typo', '...', ""'ll"", 'live', '.', ""''""]"
131,0,"""
english please  you are in the united states !""","['``', '\\nenglish', 'please', 'united', 'states', '!', ""''""]"
132,1,""" @flip how are you not ded""","['``', '\\xa0', '@', 'flip\\xa0how', 'ded', ""''""]"
133,0,"""you are such a good friend!!""","['``', 'good', 'friend', '!', '!', ""''""]"
134,1,"""i use the word damn in a post and you reject it.  how about this, fuck you!""","['``', 'use', 'word', 'damn', 'post', 'reject', '.', '\\xa0how', ',', 'fuck', '!', ""''""]"
135,1,"""girls need to learn when to shut up, she is beautiful, she knows it and that's all that really matters you don't know if she unhealthy, be quiet with your words of hate we (the majority of women) are tired if the hate.""","['``', 'girls', 'need', 'learn', 'shut', ',', 'beautiful', ',', 'knows', ""'s"", 'really', 'matters', ""n't"", 'know', 'unhealthy', ',', 'quiet', 'words', 'hate', '(', 'majority', 'women', ')', 'tired', 'hate', '.', ""''""]"
136,0,"""not unless you are a mormon in good standing.""","['``', 'unless', 'mormon', 'good', 'standing', '.', ""''""]"
137,1,""" more juvenile idiocy from a juvenile idiot.""","['``', '\\xa0more', 'juvenile', 'idiocy', 'juvenile', 'idiot', '.', ""''""]"
